service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TAL_MATO_K18_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_K18_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K18_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K18_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_LA_K18_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K18_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K18_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K18_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_PE_K19_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K19_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_MATO_K19_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_K19_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_LA_K19_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K19_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K19_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K19_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ARKI_K20_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K20_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K20_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K20_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K20_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K20_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUP_K20_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K20_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_LA_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K19_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K19_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K19_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K19_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_JOUA_K20_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K20_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_MA_TO_K21_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MA_TO_K21_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K21_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K21_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_LA_K21_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K21_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K21_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K21_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_MATO_K22_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_K22_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K22_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K22_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_LA_K22_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K22_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K22_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K22_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ER_PY_K21_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_ER_PY_K21_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_ER_PY_K22_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_ER_PY_K22_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_JOUA_K21_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K21_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUA_K22_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K22_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K21_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K21_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_JOUP_K22_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K22_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_ER_PY_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_ER_PY_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_MA_TO_K7_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MA_TO_K7_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K7_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K7_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_LA_K7_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K7_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K7_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K7_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ARKI_K24_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K24_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K24_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K24_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K24_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K24_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ARKI_K23_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K23_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K23_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K23_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K23_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K23_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ER_PY_K9_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_ER_PY_K9_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K9_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K9_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K9_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K9_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_LA_K9_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K9_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_MATO_K9_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_K9_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K9_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K9_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_PY_K9_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K9_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ARKI_K8_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K8_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K8_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K8_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K8_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K8_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ARKI_K6_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K6_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K6_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K6_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K6_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K6_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_PY_K5_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K5_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_LA_K5_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K5_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_ARKI_K5_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K5_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_ARKI_K2_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K2_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K2_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K2_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K2_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K2_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ARKI_K16_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K16_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_LA_K16_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K16_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_PY_K16_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K16_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_ER_PY_K7_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_ER_PY_K7_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K7_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K7_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K7_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K7_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_ER_PY_K12_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_ER_PY_K12_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K12_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K12_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K12_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K12_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_LA_K12_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K12_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_MATO_K12_2015,1,1,1,1,0,0,0,20141110,20150531
TAL_MATO_K12_2015_Y,0,1,1,1,1,0,0,20141111,20150601
TAL_PE_K12_2015,0,0,0,0,1,0,0,20141110,20150531
TAL_PE_K12_2015_Y,0,0,0,0,0,1,0,20141111,20150601
TAL_PY_K12_2015,0,0,0,0,0,0,1,20141110,20150531
TAL_PY_K12_2015_Y,1,0,0,0,0,0,0,20141111,20150601
TAL_JOUA_K13_2015,0,0,1,0,0,0,0,20141224,20141224
TAL_JOUA_K13_2015_Y,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K13_2015,0,0,0,1,0,0,0,20141225,20141225
TAL_JOUP_K13_2015_Y,0,0,0,0,1,0,0,20141226,20141226
TAL_LA_K13_2015,0,0,0,0,0,1,0,20141110,20150531
TAL_LA_K13_2015_Y,0,0,0,0,0,0,1,20141111,20150601
TAL_ARKI_K13_2015,1,1,1,1,1,0,0,20141110,20150531
TAL_ARKI_K13_2015_Y,0,1,1,1,1,1,0,20141111,20150601
TAL_PY_K13_2015,0,0,0,0,0,0,1,20141110,20150531
