service_id,date,exception_type
TAL_AR_K31_2017,20170414,2
TAL_ER_PY_K31_2017,20170414,1
TAL_AR_K31_2017_Y,20170415,2
TAL_ER_PY_K31_2017_Y,20170415,1
TAL_AR_K31_2017,20170417,2
TAL_PY_K31_2017,20170417,1
TAL_AR_K31_2017_Y,20170418,2
TAL_PY_K31_2017_Y,20170418,1
TAL_AR_K31_2017,20170501,2
TAL_VAPPUP_K31_2017,20170501,1
TAL_AR_K31_2017_Y,20170502,2
TAL_VAPPUP_K31_2017_Y,20170502,1
TAL_AR_K31_2017,20170525,2
TAL_PY_K31_2017,20170525,1
TAL_AR_K31_2017_Y,20170526,2
TAL_PY_K31_2017_Y,20170526,1
TAL_PY_K31_2017,20170430,2
TAL_ER_PY_K31_2017,20170430,1
TAL_PY_K31_2017_Y,20170501,2
TAL_ER_PY_K31_2017_Y,20170501,1
TAL_ARKI_K33_2017,20170414,2
TAL_PY_K33_2017,20170414,1
TAL_ARKI_K33_2017_Y,20170415,2
TAL_PY_K33_2017_Y,20170415,1
TAL_ARKI_K33_2017,20170417,2
TAL_PY_K33_2017,20170417,1
TAL_ARKI_K33_2017_Y,20170418,2
TAL_PY_K33_2017_Y,20170418,1
TAL_ARKI_K33_2017,20170501,2
TAL_VAPPUP_K33_2017,20170501,1
TAL_ARKI_K33_2017_Y,20170502,2
TAL_VAPPUP_K33_2017_Y,20170502,1
TAL_ARKI_K33_2017,20170525,2
TAL_PY_K33_2017,20170525,1
TAL_ARKI_K33_2017_Y,20170526,2
TAL_PY_K33_2017_Y,20170526,1
TAL_MATO_K32_2017,20170417,2
TAL_PY_K32_2017,20170417,1
TAL_MATO_K32_2017_Y,20170418,2
TAL_PY_K32_2017_Y,20170418,1
TAL_MATO_K32_2017,20170501,2
TAL_VAPPUP_K32_2017,20170501,1
TAL_MATO_K32_2017_Y,20170502,2
TAL_VAPPUP_K32_2017_Y,20170502,1
TAL_MATO_K32_2017,20170525,2
TAL_PY_K32_2017,20170525,1
TAL_MATO_K32_2017_Y,20170526,2
TAL_PY_K32_2017_Y,20170526,1
TAL_PE_K32_2017,20170414,2
TAL_ER_PY_K32_2017,20170414,1
TAL_PE_K32_2017_Y,20170415,2
TAL_ER_PY_K32_2017_Y,20170415,1
TAL_PY_K32_2017,20170430,2
TAL_ER_PY_K32_2017,20170430,1
TAL_PY_K32_2017_Y,20170501,2
TAL_ER_PY_K32_2017_Y,20170501,1
TAL_ARKI_K34_2017,20170414,2
TAL_PY_K34_2017,20170414,1
TAL_ARKI_K34_2017_Y,20170415,2
TAL_PY_K34_2017_Y,20170415,1
TAL_ARKI_K34_2017,20170417,2
TAL_PY_K34_2017,20170417,1
TAL_ARKI_K34_2017_Y,20170418,2
TAL_PY_K34_2017_Y,20170418,1
TAL_ARKI_K34_2017,20170501,2
TAL_VAPPUP_K34_2017,20170501,1
TAL_ARKI_K34_2017_Y,20170502,2
TAL_VAPPUP_K34_2017_Y,20170502,1
TAL_ARKI_K34_2017,20170525,2
TAL_PY_K34_2017,20170525,1
TAL_ARKI_K34_2017_Y,20170526,2
TAL_PY_K34_2017_Y,20170526,1
TAL_ER_PY_K32_2017,20170226,2
TAL_PY_K32_2017,20170226,1
TAL_ER_PY_K32_2017_Y,20170227,2
TAL_PY_K32_2017_Y,20170227,1
TAL_ER_PY_K32_2017,20170305,2
TAL_PY_K32_2017,20170305,1
TAL_ER_PY_K32_2017_Y,20170306,2
TAL_PY_K32_2017_Y,20170306,1
TAL_ER_PY_K32_2017,20170312,2
TAL_PY_K32_2017,20170312,1
TAL_ER_PY_K32_2017_Y,20170313,2
TAL_PY_K32_2017_Y,20170313,1
TAL_ER_PY_K32_2017,20170319,2
TAL_PY_K32_2017,20170319,1
TAL_ER_PY_K32_2017_Y,20170320,2
TAL_PY_K32_2017_Y,20170320,1
TAL_ER_PY_K32_2017,20170326,2
TAL_PY_K32_2017,20170326,1
TAL_ER_PY_K32_2017_Y,20170327,2
TAL_PY_K32_2017_Y,20170327,1
TAL_ER_PY_K32_2017,20170402,2
TAL_PY_K32_2017,20170402,1
