fare_id,contains_id
AB,A
AB,B
BC,B
BC,C
CD,C
CD,D
DE,D
DE,E
EF,E
EF,F
FG,F
FG,G
ABC,A
ABC,B
ABC,C
BCD,B
BCD,C
BCD,D
CDE,C
CDE,D
CDE,E
DEF,D
DEF,E
DEF,F
EFG,E
EFG,F
EFG,G
ABCD,A
ABCD,B
ABCD,C
ABCD,D
BCDE,B
BCDE,C
BCDE,D
BCDE,E
CDEF,C
CDEF,D
CDEF,E
CDEF,F
DEFG,D
DEFG,E
DEFG,F
DEFG,G
ABCDE,A
ABCDE,B
ABCDE,C
ABCDE,D
ABCDE,E
BCDEF,B
BCDEF,C
BCDEF,D
BCDEF,E
BCDEF,F
CDEFG,C
CDEFG,D
CDEFG,E
CDEFG,F
CDEFG,G
ABCDEF,A
ABCDEF,B
ABCDEF,C
ABCDEF,D
ABCDEF,E
ABCDEF,F
BCDEFG,B
BCDEFG,C
BCDEFG,D
BCDEFG,E
BCDEFG,F
BCDEFG,G
ABCDEFG,A
ABCDEFG,B
ABCDEFG,C
ABCDEFG,D
ABCDEFG,E
ABCDEFG,F
ABCDEFG,G
