stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
0001,0001,Keskustori M,61.49751,23.76151,A
0002,0002,Keskustori L,61.49756,23.76148,A
0003,0003,Keskustori A,61.49920,23.75953,A
0005,0005,Keskustori P,61.49740,23.76154,A
0007,0007,Keskustori O,61.49734,23.76154,A
0008,0008,Keskustori N,61.49746,23.76153,A
0010,0010,Keskustori F,61.49750,23.75803,A
0011,0011,Keskustori G,61.49752,23.75828,A
0012,0012,Keskustori H,61.49770,23.76136,A
0014,0014,Keskustori E,61.49891,23.75963,A
0015,0015,Keskustori D,61.49786,23.76128,A
0022,0022,Metso,61.49775,23.75064,A
0024,0024,Metso,61.49772,23.75017,A
0025,0025,Aleksanterin kirkko,61.49744,23.74832,A
0026,0026,Pyynikintori A,61.49790,23.74320,A
0028,0028,Pyynikintori B,61.49799,23.74248,A
0029,0029,Pyynikintori,61.49776,23.74214,A
0031,0031,Pyynikintori,61.49750,23.74202,A
0035,0035,Keskustori C,61.49783,23.76082,A
0036,0036,Keskustori B,61.49905,23.75958,A
0038,0038,Finlayson,61.50061,23.75940,A
0041,0041,Keskustori R,61.49726,23.76161,A
0042,0042,Keskustori I,61.49744,23.76080,A
0044,0044,Laukontori,61.49532,23.76014,A
0046,0046,Satamakatu 8,61.49491,23.75486,A
0047,0047,Pyynikin koulu,61.49389,23.75268,A
0048,0048,Satamakatu 18,61.49450,23.74884,A
0049,0049,Satamakatu,61.49427,23.74837,A
0050,0050,Työväenteatteri ,61.49508,23.75334,A
0052,0052,Pikkupalatsi,61.50138,23.75137,A
0053,0053,Hämeenpuisto 18,61.49908,23.75116,A
0054,0054,Näsinkallio,61.50271,23.74909,A
0055,0055,Näsinkallio,61.50258,23.74916,A
0056,0056,Mustalahti,61.50316,23.74594,A
0057,0057,Särkänniemi,61.50255,23.74439,A
0058,0058,Mustanlahdenkatu,61.50008,23.74948,A
0059,0059,Mustanlahdenkatu,61.49989,23.74953,A
0060,0060,Sotkankatu,61.49954,23.74171,A
0061,0061,Sotkankatu,61.49932,23.74157,A
0063,0063,Särkänniemi,61.50355,23.74201,A
0065,0065,Mariankatu,61.49697,23.74482,A
0072,0072,Satakunnankatu 23,61.50023,23.75482,A
0079,0079,Aleksanterin koulu ,61.49631,23.75188,A
0080,0080,Hämeenpuisto 31,61.49657,23.75289,A
0083,0083,Hämeenpuisto 10,61.50093,23.75038,A
0087,0087,Finlayson,61.50065,23.75744,A
0092,0092,Nalkalantori,61.49270,23.75686,A
0098,0098,Savilinna,61.50023,23.73747,A
0099,0099,Savilinna,61.50018,23.73719,A
0108,0108,Rongankatu 9,61.50051,23.77063,A
0120,0120,Ratinan kauppakeskus,61.49315,23.76865,A
0121,0121,Ratinan kauppakeskus,61.49347,23.76892,A
0500,0500,Rautatieasema,61.49819,23.76758,A
0501,0501,Rautatieasema,61.49823,23.76741,A
0502,0502,Rautatieasema,61.49819,23.76756,A
0504,0504,Rautatieasema C,61.49820,23.76762,A
0505,0505,Rautatieasema A,61.49823,23.76747,A
0506,0506,Rautatieasema G,61.49810,23.77169,A
0508,0508,Rautatieasema D,61.49820,23.76762,A
0510,0510,Itsenäisyydenkatu 10,61.49887,23.78125,A
0511,0511,Itsenäisyydenkatu 13,61.49907,23.78123,A
0514,0514,Koskipuisto G,61.49724,23.76606,A
0517,0517,Koskipuisto H,61.49773,23.76562,A
0518,0518,Koskipuisto E,61.49756,23.76536,A
0519,0519,Koskipuisto I,61.49751,23.76606,A
0520,0520,Koskipuisto F,61.49737,23.76573,A
0521,0521,Linja-autoasema,61.49362,23.76950,A
0522,0522,Linja-autoasema,61.49361,23.77022,A
0523,0523,Linja-autoasema,61.49500,23.76970,A
0524,0524,Tampereen valtatie,61.49133,23.77215,A
0526,0526,Rautatieasema F,61.49801,23.77209,A
0528,0528,Klassillinen koulu,61.50077,23.77122,A
0529,0529,Klassillinen koulu,61.50112,23.77070,A
0534,0534,Kastinsilta,61.50599,23.77393,A
0535,0535,Kastinsilta,61.50634,23.77380,A
0536,0536,Paloasema,61.50109,23.76501,A
0537,0537,Paloasema,61.50127,23.76531,A
0540,0540,Tammelankatu,61.49985,23.77987,A
0541,0541,Tammelantori,61.50219,23.77929,A
0542,0542,Tammelantori,61.50210,23.77971,A
0545,0545,Tapionkatu,61.50399,23.77933,A
0546,0546,Tapionkatu,61.50399,23.77961,A
0547,0547,Hotelli Kauppi,61.50547,23.78534,A
0549,0549,Koiratori,61.50539,23.77824,A
0550,0550,Koiratori,61.50550,23.77743,A
0552,0552,Viola-koti,61.50336,23.76500,A
0558,0558,Pohjolankatu 26,61.50544,23.78254,A
0559,0559,Pohjolankatu ,61.50556,23.78231,A
0560,0560,Yliopistonkatu,61.49854,23.77957,A
0561,0561,Tampere-talo,61.49782,23.77989,A
0562,0562,Tampere-talo,61.49637,23.77967,A
0563,0563,Yliopisto C,61.49471,23.77775,A
0564,0564,Yliopisto A,61.49497,23.77908,A
0565,0565,Yliopisto B,61.49514,23.78135,A
0566,0566,Yliopisto D,61.49493,23.78147,A
0569,0569,Sorinaukio,61.49477,23.77141,A
0570,0570,Sorinaukio,61.49465,23.77116,A
0575,0575,Rautatieasema B,61.49823,23.76745,A
0586,0586,Kullervonkatu 8,61.50300,23.77733,A
0596,0596,Kelloportinkatu,61.50177,23.76411,A
0600,0600,Lapintie 2,61.50153,23.76430,A
0601,0601,Tietotalo,61.49117,23.77632,A
0700,0700,Villa Viola,61.50349,23.76517,A
0701,0701,Tampellan Esplanadi,61.50484,23.76379,A
0702,0702,Rohdinkuja,61.50544,23.76580,A
0706,0706,Soukkapuisto,61.50737,23.76603,A
0708,0708,Kekkosenkatu,61.50780,23.77085,A
1000,1000,Onkiniemi,61.50235,23.73843,A
1001,1001,Onkiniemi,61.50208,23.73835,A
1002,1002,Santalahti,61.50174,23.72648,A
1003,1003,Santalahti,61.50121,23.72632,A
1006,1006,Rantatie,61.50626,23.71467,A
1007,1007,Rantatie,61.50433,23.72048,A
1009,1009,Venesatama,61.50598,23.71444,A
1010,1010,Hiedanranta,61.51068,23.68685,B
1011,1011,Hiedanranta,61.51063,23.68490,B
1012,1012,Epilänharju,61.51238,23.67543,B
1013,1013,Epilänharju,61.51154,23.67836,B
1014,1014,Harjuntausta,61.51712,23.66571,B
1015,1015,Harjuntausta,61.51651,23.66423,B
1016,1016,Lielahtikeskus D,61.52026,23.67163,B
1017,1017,Lielahtikeskus C,61.51982,23.66991,B
1018,1018,Lielahden koulu,61.52183,23.67479,B
1019,1019,Lielahden koulu,61.52239,23.67556,B
1021,1021,Harjuntausta 11,61.51641,23.66629,B
1022,1022,Matilda Niemen katu,61.52201,23.69046,B
1023,1023,Matilda Niemen katu,61.52174,23.68943,B
1024,1024,Männistönkuja,61.52700,23.70351,B
1025,1025,Männistönkuja,61.52712,23.70355,B
1026,1026,Jänislampi,61.52818,23.70912,B
