from_stop_id,to_stop_id,from_route_id,to_route_id,transfer_type,min_transfer_time
5217,5217,,,2,1
5218,5218,,,2,1
8520,8522,,,2,1
8522,8520,,,2,1
8520,8524,,,2,1
8524,8520,,,2,1
8526,8520,,,2,1
8520,8526,,,2,1
6025,6025,,,2,1
6100,6100,,,2,1
6100,6025,,,2,1
6101,6025,,,2,1
6025,6101,,,2,1
6111,6111,,,3,
0514,0514,40,50,2,1
0514,0514,40,50V,2,1
0514,0514,40A,50,2,1
0514,0514,40A,50V,2,1
0514,0514,40B,50,2,1
0514,0514,40B,50V,2,1
0514,0514,40C,50,2,1
0514,0514,40C,50V,2,1
0517,0517,50,40,2,1
0517,0517,50V,40,2,1
0517,0517,50,40A,2,1
0517,0517,50V,40A,2,1
0517,0517,50,40B,2,1
0517,0517,50V,40B,2,1
0517,0517,50,40C,2,1
0517,0517,50V,40C,2,1
4600,4602,,,2,1
4602,4600,,,2,1
