route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
55,KES_AR_2019_K20,5967354890,Tampere,0,55011,1453178800041,0
55,KES_AR_2019_K20,5967414890,Vesilahti,1,55011,1453200417625,0
55,KES_AR_2019_K20,5967374890,Tampere,0,55011,1453176250041,0
55,KES_AR_2019_K20,5967434890,Vesilahti,1,55011,1453200417880,0
55,KES_AR_2019_K20,5967394890,Tampere,0,55011,1453178800041,0
55,KES_AR_2019_K20,5967454890,Vesilahti,1,55011,1453200417625,0
55,KES_AR_2019_K20,5967544890,Tampere,0,55011,1453176250041,0
55,KES_AR_2019_K20,5967474890,Vesilahti,1,55011,1453200417880,0
55,KES_AR_2019_K20,5967564890,Tampere,0,55011,1453178800041,0
55,KES_AR_2019_K20,5967494890,Vesilahti,1,55011,1453200417880,0
55,KES_AR_2019_K20,5967584890,Tampere,0,55011,1453178800041,0
55,KES_AR_2019_K20,5967694890,Vesilahti,1,55011,1453200417880,0
55,KES_AR_2019_K20,5967604890,Tampere,0,55011,1453178800041,0
55,KES_AR_2019_K20,5967534890,Vesilahti,1,55011,1453200417880,0
55,KES_AR_2019_K20,5967364890,Tampere,0,55021,1453178800041,0
55,KES_AR_2019_K20,5967424890,Vesilahti,1,55021,1453200417625,0
55,KES_AR_2019_K20,5967384890,Tampere,0,55021,1453176250041,0
55,KES_AR_2019_K20,5967444890,Vesilahti,1,55021,1453200417625,0
55,KES_AR_2019_K20,5967404890,Tampere,0,55021,1453176250041,0
55,KES_AR_2019_K20,5967464890,Vesilahti,1,55021,1453200417880,0
55,KES_AR_2019_K20,5967554890,Tampere,0,55021,1453178800041,0
55,KES_AR_2019_K20,5967484890,Vesilahti,1,55021,1453200417625,0
55,KES_AR_2019_K20,5967574890,Tampere,0,55021,1453176250041,0
55,KES_AR_2019_K20,5967504890,Vesilahti,1,55021,1453200417625,0
55,KES_AR_2019_K20,5967594890,Tampere,0,55021,1453176250041,0
55,KES_AR_2019_K20,5967524890,Vesilahti,1,55021,1453200417880,0
85,KES_AR_2019_K31,5813644905,Linja-autoasema,1,85011,1339263050522,0
85,KES_AR_2019_K31,5813434905,Kuru,0,85011,1339105216578,0
85,KES_AR_2019_K31,5813524905,Matkatie,1,85011,1339265796101,0
85,KES_AR_2019_K31,5813614905,Susikiventie,0,85011,1339161006304,0
85,KES_AR_2019_K31,5813594905,Matkatie,1,85011,1339263056101,0
85,KES_AR_2019_K31,5813454905,Susikiventie,0,85011,1339161006304,0
85,KES_AR_2019_K31,5813534905,Matkatie,1,85011,1339263056101,0
85,KES_AR_2019_K31,5813604905,Susikiventie,0,85011,1339161006304,0
85,KES_AR_2019_K31,5813544905,Matkatie,1,85011,1339263056101,0
85,KES_AR_2019_K31,5813464905,Susikiventie,0,85011,1339161006304,0
85,KES_AR_2019_K31,5813554905,Matkatie,1,85011,1339263056101,0
85,KES_AR_2019_K31,5813474905,Susikiventie,0,85011,1339161006304,0
85,KES_AR_2019_K31,5813564905,Matkatie,1,85011,1339263056101,0
85,KES_AR_2019_K31,5813504905,Susikiventie,0,85011,1339161006304,0
85,KES_AR_2019_K31,5813624905,Linja-autoasema,1,85011,1339263050522,0
85,KES_AR_2019_K31,5813674905,Susikiventie,0,85011,1339105216304,0
85,KES_AR_2019_K31,5813584905,Matkatie,1,85011,1339263056101,0
85,KES_AR_2019_K31,5813684905,Kuru,0,85011,1339161006578,0
85,KES_AR_2019_K31,5813574905,Matkatie,1,85011,1339265796101,0
85,KES_AR_2019_K31,5813654905,Susikiventie,0,85011,1339161006304,0
85V,KES_AR_2019_K31,5813634905,Linja-autoasema,1,85021,1340269900522,0
85V,KES_AR_2019_K31,5813484905,Virrat MH,0,85021,1340105216990,0
83,KES_AR_2019_K33,5867334915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839254915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839544915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839264915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839554915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839274915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839564915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839284915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839574915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839294915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839584915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839304915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839594915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839314915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839604915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839324915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839614915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839334915,Matkatie,1,83011,1440261616101,0
84,KES_AR_2019_K33,5839864915,Takamaan koulu,0,83011,1442161006230,0
84,KES_AR_2019_K33,5839874915,Matkatie p,1,83011,1442262316101,0
83,KES_AR_2019_K33,5839624915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839344915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839634915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839354915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839644915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839364915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839664915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839384915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839654915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839374915,Matkatie,1,83011,1440261616101,0
84,KES_AR_2019_K33,5839824915,Takamaan koulu,0,83011,1442161006230,0
84,KES_AR_2019_K33,5839844915,Matkatie p,1,83011,1442262316101,0
83,KES_AR_2019_K33,5839674915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839394915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839684915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839404915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839694915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839414915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839704915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839424915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839714915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839434915,Matkatie,1,83011,1440261616101,0
83,KES_AR_2019_K33,5839724915,Metsäkylä,0,83011,1440161016161,0
83,KES_AR_2019_K33,5839444915,Matkatie,1,83011,1440261616101,0
